# date: 06-Jun-2025 09:40:32
# dateEnd: 06-Jun-2025 13:26:23
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: examples

                             fname                            ; ok ;    seed    ;   time  ; checkTime 

 example_linearParam_reach_01_rlc_const                       ;  1 ;  477067325 ;   95.68 ;         1 
 example_linearParam_reach_02_5dim_var                        ;  1 ;  591258497 ;    4.03 ;         1 
 example_linProbSys_reach_01_2dim                             ;  1 ; 2237424118 ;   52.99 ;         1 
 example_linProbSys_reach_02_5dim                             ;  1 ; 3341350875 ;   28.62 ;         1 
 example_linearARX_reach_01_compSS                            ;  1 ;  810445310 ;  119.58 ;         1 
 example_linearARX_reach_02_scal                              ;  1 ; 1426229787 ; 3204.97 ;         1 
 example_linearARX_simulate                                   ;  1 ;  786787304 ;    0.63 ;         1 
 example_linear_reachBackward_2D                              ;  1 ; 2179781190 ;   14.44 ;         1 
 example_linear_reachBackward_platoon                         ;  1 ;  525630870 ;   86.28 ;         1 
 example_linear_reachBackward_pursuitevasion                  ;  1 ; 1004863752 ;    0.66 ;         1 
 example_linear_reachBackward_quadrotor12D                    ;  1 ; 2100633994 ;    0.32 ;         1 
 example_linear_reachBackward_quadrotor6D                     ;  1 ;  243138670 ;   54.13 ;         1 
 example_linear_reach_01_5dim                                 ;  1 ;  309570995 ;    4.92 ;         1 
 example_linear_reach_02_5dim_rrt                             ;  1 ;  287584523 ;   60.88 ;         1 
 example_linear_reach_03_inputTrajectory                      ;  1 ;   42947150 ;   80.40 ;         1 
 example_linear_reach_04_adaptive                             ;  1 ; 3910867434 ;   25.15 ;         1 
 example_linear_reach_05_innerApprox                          ;  1 ; 3520087262 ;    1.96 ;         1 
 example_linear_reach_06_adaptive_electricCircuit             ;  1 ; 1279932306 ;   65.77 ;         1 
 example_linear_reach_07_temporalLogic                        ;  1 ; 2393523052 ;    0.98 ;         1 
 example_linear_verify                                        ;  1 ; 3330030150 ;    2.85 ;         1 
 example_linear_verify_electricCircuit                        ;  1 ; 2211832298 ;   65.86 ;         1 
 example_linear_verify_randomGeneration                       ;  1 ; 1348054355 ;    3.89 ;         1 
 example_linear_verify_temporalLogic                          ;  1 ;   36303770 ;   75.09 ;         1 
 example_linearSysDT_conform_01_pedestrians                   ;  1 ; 1656505986 ;    1.45 ;         1 
 example_linearSysDT_conform_02_2dim                          ;  1 ;   52790353 ;    0.32 ;         1 
 example_linearSysDT_conform_03_gray                          ;  1 ; 1670677353 ;    5.03 ;         1 
 example_linearSysDT_conform_04_LTV                           ;  1 ; 1380748926 ;    2.96 ;         1 
 example_linearSysDT_isconform_01_pedestrians                 ;  1 ; 1631425684 ;    0.64 ;         1 
 example_linearSysDT_observe_01_vehicle                       ;  1 ;  871143406 ;    0.04 ;         1 
 example_linearSysDT_observe_02_2dim                          ;  1 ; 4040317281 ;    0.54 ;         1 
 example_linearSysDT_observe_03_tank                          ;  1 ; 2736919520 ;   10.97 ;         1 
 example_linearSysDT_observe_04_pedestrian                    ;  1 ; 1800949086 ;    0.03 ;         1 
 example_linearSysDT_observe_CommonRoad                       ;  1 ; 1106945266 ;    8.29 ;         1 
 example_linearSysDT_observe_longitudinalCommonRoad           ;  1 ; 4247130022 ;    2.55 ;         1 
 example_linearSysDT_reach_01_5dim                            ;  1 ; 3500674253 ;    1.50 ;         1 
 example_linearSysDT_reach_02_5dim                            ;  1 ;  789844468 ;    1.79 ;         1 
 example_linearSysDT_reach_03_2dim_backOver                   ;  1 ; 3414831445 ;    2.96 ;         1 
