# date: 06-Jun-2025 07:58:48
# dateEnd: 06-Jun-2025 09:29:25
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: long

                              fname                             ; ok ;    seed    ;  time  ; checkTime 

 testLong_linParamSys_F                                         ;  1 ; 3487220280 ;   4.19 ;         0 
 testLong_linParamSys_reach_01_rlc_const                        ;  1 ;  415409518 ;  28.22 ;         1 
 testLong_linearSys_generateRandom                              ;  1 ; 2191910344 ;   5.16 ;         1 
 testLong_linearSys_particularSolution_timeVarying_blocks       ;  1 ;  178343741 ;   4.65 ;         1 
 testLong_linearSys_reach_04_inputTrajectory                    ;  1 ; 2778451340 ;   4.36 ;         1 
 testLong_linearSys_reach_06_5dim_linAlg_all                    ;  1 ;   19462043 ;   1.76 ;         1 
 testLong_linearSys_reach_07_constInput                         ;  1 ; 4217001668 ;   0.33 ;         1 
 testLong_linearSys_reach_08_adaptive                           ;  1 ; 4282137645 ;  12.06 ;         1 
 testLong_linearSys_reach_09_decomp                             ;  1 ;  918640927 ;   1.38 ;         1 
 testLong_linearSys_reach_11_inputTrajectory                    ;  1 ;  540068088 ;   2.83 ;         1 
 testLong_linearSys_simulate                                    ;  1 ;  434216384 ;  63.26 ;         1 
 testLong_linearSys_simulateRandom_01                           ;  1 ; 2867563354 ;   2.66 ;         1 
 testLong_linearSys_simulateRandom_02                           ;  1 ; 1119033453 ;  13.97 ;         1 
 testLong_linearSys_simulateRandom_03                           ;  1 ; 3074729828 ;  23.27 ;         1 
 testLong_linearSys_simulateRandom_04                           ;  1 ;  701657726 ;   0.87 ;         1 
 testLong_linearSysDT_conform_03_gray                           ;  1 ;  525526138 ;  43.18 ;         1 
 testLong_linearSysDT_isconform_04_bruteForce                   ;  1 ;  505522209 ; 113.56 ;         1 
 testLong_linearSysDT_observe_01_vehicle                        ;  1 ; 2356149824 ;   1.86 ;         1 
 testLong_linearSysDT_observe_03_tank                           ;  1 ; 3084323809 ;   0.49 ;         1 
 testLong_linearSysDT_observe_04_FRad_A                         ;  1 ;   49853145 ;   2.31 ;         1 
 testLong_linearSysDT_observe_08_pedestrian                     ;  1 ; 1372785367 ;   2.55 ;         1 
 testLong_linearSysDT_simulateRandom                            ;  1 ;  884979712 ;  21.93 ;         1 
 testLong_nonlinDASys_reach_01_powerSystem_3bus                 ;  1 ; 2478746171 ;  41.71 ;         1 
 testLong_nonlinDASys_reach_output                              ;  1 ; 2360707604 ;  40.47 ;         1 
 testLong_nonlinParamSys_reach_01_tank                          ;  1 ;  721619761 ;  13.80 ;         1 
 testLong_nonlinParamSys_reach_02_tank_certainCase              ;  1 ; 3887695901 ;  20.43 ;         1 
 testLong_nonlinParamSys_reach_03_tank_linearRemainder          ;  1 ; 2831299038 ;   5.62 ;         1 
 testLong_nonlinParamSys_reach_04_VDP_linearRemainder           ;  1 ; 1217454322 ;   5.52 ;         1 
 testLong_nonlinParamSys_reach_output                           ;  1 ; 2919574625 ;  10.91 ;         1 
 testLong_nonlinParamSys_tensorCreation                         ;  1 ; 2977803297 ; 129.66 ;         1 
 testLong_nonlinearARX_conform_03_black                         ;  1 ;  437067147 ;  30.68 ;         0 
 testLong_nonlinearSys_evalNthTensor                            ;  1 ; 2302997105 ;   1.45 ;         1 
 testLong_nonlinearSys_linError                                 ;  1 ; 2756520404 ;   9.13 ;         1 
 testLong_nonlinearSys_reachInner                               ;  1 ; 2803888199 ;  50.47 ;         1 
 testLong_nonlinearSys_reachInner_02_minkdiff                   ;  1 ; 2456660678 ;  20.97 ;         1 
 testLong_nonlinearSys_reach_03_vanDerPol                       ;  1 ;  365624056 ;  74.22 ;         1 
 testLong_nonlinearSys_reach_05_autonomousCar                   ;  1 ;  411909100 ;   8.73 ;         1 
 testLong_nonlinearSys_reach_06_autonomousCar_SRX               ;  1 ; 2143533779 ;  14.02 ;         1 
 testLong_nonlinearSys_reach_06_tank_linearRemainder            ;  1 ; 1530762487 ;   8.14 ;         1 
 testLong_nonlinearSys_reach_07_VDP_linearRemainder             ;  1 ; 1097593708 ;  17.13 ;         1 
 testLong_nonlinearSys_reach_output                             ;  1 ; 2858464007 ;   5.29 ;         1 
 testLong_nonlinearSys_reach_poly                               ;  1 ; 2557726445 ;   5.22 ;         1 
 testLong_nonlinearSys_reach_time                               ;  1 ; 3453248955 ;  47.61 ;         1 
 testLong_nonlinearSys_simplifyOptimize                         ;  1 ; 3607815779 ;  15.92 ;         1 
 testLong_nonlinearSys_tensorCreation                           ;  1 ; 1750439751 ; 129.03 ;         1 
 testLong_nonlinearSysDT_conform_03_gray                        ;  1 ; 3071285521 ;  62.20 ;         1 
 testLong_nonlinearSysDT_reach_output                           ;  1 ; 3527812320 ;   0.72 ;         1 
 testLong_nonlinearSysDT_tensorCreation                         ;  1 ;  262551684 ;  78.20 ;         1 
 testLong_capsule_capsule                                       ;  1 ; 1547456152 ;   0.39 ;         0 
 testLong_capsule_center                                        ;  1 ; 3400700820 ;   0.04 ;         1 
 testLong_capsule_contains                                      ;  1 ; 3173386218 ;   5.01 ;         0 
 testLong_capsule_convHull                                      ;  1 ; 2631947004 ;   2.26 ;         1 
 testLong_capsule_dim                                           ;  1 ; 3880525175 ;   0.01 ;         1 
 testLong_capsule_enclosePoints                                 ;  1 ; 1494788058 ;   0.72 ;         1 
 testLong_capsule_isFullDim                                     ;  1 ; 1983482033 ;   0.41 ;         1 
 testLong_capsule_isIntersecting                                ;  1 ; 3595765750 ;   1.46 ;         1 
 testLong_capsule_isequal                                       ;  1 ; 3696452247 ;   0.35 ;         1 
 testLong_capsule_polytope                                      ;  1 ; 1477298053 ;   3.06 ;         1 
 testLong_capsule_radius                                        ;  1 ;  847410174 ;   0.01 ;         1 
 testLong_capsule_randPoint                                     ;  1 ; 3529300534 ;   0.12 ;         1 
 testLong_capsule_supportFunc                                   ;  1 ;  383047230 ;   0.46 ;         1 
 testLong_capsule_volume                                        ;  1 ; 4293744713 ;   0.06 ;         1 
 testLong_conPolyZono_and                                       ;  1 ; 3840554245 ; 106.22 ;         1 
 testLong_conPolyZono_conZonotope                               ;  1 ; 3565775664 ;   7.89 ;         0 
 testLong_conPolyZono_contains                                  ;  1 ; 1125480779 ;   9.47 ;         0 
 testLong_conPolyZono_convHull                                  ;  1 ; 1611535260 ; 161.90 ;         0 
 testLong_conPolyZono_linComb                                   ;  1 ; 3533892681 ;  77.10 ;         0 
 testLong_conPolyZono_or                                        ;  1 ; 3976541724 ; 244.05 ;         0 
 testLong_conPolyZono_plotRandPoint                             ;  1 ; 1356637366 ;  12.42 ;         1 
 testLong_conPolyZono_plus                                      ;  1 ; 1200075742 ;  53.18 ;         0 
 testLong_conPolyZono_quadMap                                   ;  1 ; 1814808124 ; 131.42 ;         1 
 testLong_conPolyZono_reduceConstraints                         ;  1 ;  108499482 ;  37.86 ;         0 
 testLong_conPolyZono_zonotope                                  ;  1 ; 2145412547 ;  55.80 ;         0 
 testLong_conZonotope_center                                    ;  1 ; 2972793190 ;   8.08 ;         1 
 testLong_conZonotope_conIntersect                              ;  1 ; 4180880723 ;   0.06 ;         1 
 testLong_conZonotope_conZonotope                               ;  1 ; 3207487169 ;   0.67 ;         1 
 testLong_conZonotope_contains                                  ;  1 ; 3731686481 ;   2.91 ;         0 
 testLong_conZonotope_cubMap                                    ;  1 ; 4062897330 ;  58.06 ;         0 
 testLong_conZonotope_deleteZeros                               ;  1 ; 2587819804 ;   0.38 ;         1 
 testLong_conZonotope_dim                                       ;  1 ;  215326533 ;   0.05 ;         1 
 testLong_conZonotope_enclose                                   ;  1 ; 1574775305 ;   3.17 ;         1 
 testLong_conZonotope_generators                                ;  1 ; 3175749152 ;   0.44 ;         1 
 testLong_conZonotope_intersectStrip                            ;  1 ;  936074964 ;   9.89 ;         1 
 testLong_conZonotope_interval                                  ;  1 ; 2003288308 ;   0.04 ;         1 
 testLong_conZonotope_isFullDim                                 ;  1 ; 1937347972 ;   0.84 ;         1 
 testLong_conZonotope_mtimes                                    ;  1 ; 1644001227 ;   0.90 ;         1 
 testLong_conZonotope_plot                                      ;  1 ; 2746588086 ;   4.07 ;         1 
 testLong_conZonotope_plotRandPoint                             ;  1 ; 1973612739 ;  55.76 ;         1 
 testLong_conZonotope_plus                                      ;  1 ; 4062625860 ;   0.75 ;         1 
 testLong_conZonotope_polytope                                  ;  1 ; 3873866077 ;   5.46 ;         1 
 testLong_conZonotope_projVertices                              ;  1 ; 3610237621 ;   7.80 ;         1 
 testLong_conZonotope_project                                   ;  1 ; 1121796396 ;  21.36 ;         1 
 testLong_conZonotope_quadMap                                   ;  1 ; 3577370129 ;   0.77 ;         1 
 testLong_conZonotope_randPoint                                 ;  1 ;  593220818 ; 125.38 ;         1 
 testLong_conZonotope_representsa                               ;  1 ; 3318110394 ;   1.15 ;         1 
 testLong_ellipsoid_and                                         ;  1 ;  813261067 ;  13.54 ;         1 
 testLong_ellipsoid_cartProd                                    ;  1 ; 1267610354 ;  41.67 ;         1 
 testLong_ellipsoid_contains                                    ;  1 ; 2214309329 ; 216.33 ;         0 
 testLong_ellipsoid_dim                                         ;  1 ; 2463035220 ;   0.14 ;         1 
 testLong_ellipsoid_distance                                    ;  1 ; 1998142926 ;   1.82 ;         0 
 testLong_ellipsoid_ellipsoid                                   ;  1 ;  479955173 ;   0.43 ;         1 
 testLong_ellipsoid_ellipsoidNorm                               ;  1 ; 2995434689 ;   0.33 ;         1 
 testLong_ellipsoid_enclose                                     ;  1 ; 3567705805 ;  77.31 ;         0 
 testLong_ellipsoid_enclosePoints                               ;  1 ; 1656043254 ;  54.13 ;         0 
 testLong_ellipsoid_generateRandom                              ;  1 ; 3622178883 ;   0.37 ;         1 
 testLong_ellipsoid_interval                                    ;  1 ; 3333004695 ;   0.04 ;         1 
 testLong_ellipsoid_isFullDim                                   ;  1 ; 3791178980 ;   0.14 ;         1 
 testLong_ellipsoid_minkDiff                                    ;  1 ; 3030655196 ;   5.49 ;         0 
 testLong_ellipsoid_norm                                        ;  1 ; 1656026474 ;   0.05 ;         1 
 testLong_ellipsoid_or                                          ;  1 ; 4110213913 ; 329.50 ;         0 
 testLong_ellipsoid_plot                                        ;  1 ; 1738098050 ;   0.23 ;         1 
 testLong_ellipsoid_plus                                        ;  1 ;  114200977 ;   0.22 ;         1 
 testLong_ellipsoid_radius                                      ;  1 ; 4096005451 ;   2.11 ;         1 
 testLong_ellipsoid_randPoint                                   ;  1 ; 3771341300 ;   1.52 ;         1 
 testLong_ellipsoid_rank                                        ;  1 ; 2934557284 ;   0.14 ;         1 
 testLong_ellipsoid_supportFunc                                 ;  1 ; 3808045251 ;   0.29 ;         1 
 testLong_ellipsoid_volume                                      ;  1 ; 3845955661 ;   0.12 ;         1 
 testLong_ellipsoid_zonotope                                    ;  1 ; 1611136313 ; 131.60 ;         1 
