# date: 06-Jun-2025 07:58:49
# dateEnd: 06-Jun-2025 08:01:13
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: nn

                      fname                      ; ok ;    seed    ;  time ; checkTime 

 test_nn_converter_vnnlib2cora                   ;  1 ; 2135799564 ;  1.42 ;         1 
 test_nn_conZonotope_ReLU_approx                 ;  1 ; 3896045044 ;  1.27 ;         1 
 test_nn_conZonotope_ReLU_exact                  ;  1 ; 4083900692 ;  1.81 ;         1 
 test_nn_folderStructure                         ;  1 ; 3596922775 ;  0.26 ;         1 
 test_nn_gcn                                     ;  1 ; 1973025453 ;  0.57 ;         1 
 test_nn_interval                                ;  1 ; 3000674055 ;  1.11 ;         1 
 test_nn_numeric                                 ;  1 ; 3081243644 ;  0.02 ;         1 
 test_nn_polyZonotope_adaptive                   ;  1 ; 2985925705 ;  0.26 ;         1 
 test_nn_polyZonotope_adaptive_large             ;  1 ; 1238817337 ;  0.25 ;         1 
 test_nn_polyZonotope_adaptive_output_ref        ;  1 ;  387170786 ;  0.21 ;         1 
 test_nn_polyZonotope_adaptive_refine            ;  1 ;  845415580 ;  0.29 ;         1 
 test_nn_polyZonotope_cub                        ;  1 ; 2786978603 ;  0.21 ;         1 
 test_nn_polyZonotope_lin                        ;  1 ;  398101232 ;  0.05 ;         1 
 test_nn_polyZonotope_quad                       ;  1 ; 2803841738 ;  0.07 ;         1 
 test_nn_polyZonotope_softmax                    ;  1 ; 3162093116 ;  2.17 ;         1 
 test_nn_random                                  ;  1 ; 3114306831 ;  0.03 ;         1 
 test_nn_taylm_ReLU                              ;  1 ; 2293567523 ;  0.22 ;         1 
 test_nn_taylm_sigmoid                           ;  1 ; 3462766279 ;  0.08 ;         1 
 test_nn_taylm_tanh                              ;  1 ; 1490944509 ;  0.09 ;         1 
 test_nn_zonotope_relu                           ;  1 ; 1881783843 ;  0.12 ;         1 
 test_nn_zonotope_tanh                           ;  1 ; 2818921790 ;  0.06 ;         1 
 test_nn_nnActivationLayer_getMergeBuckets       ;  1 ; 1533531215 ;  0.01 ;         1 
 test_nn_nnLayer_nnLayer                         ;  1 ;  874252734 ;  0.01 ;         1 
 test_nn_nnAvgPool2DLayer                        ;  1 ; 2775881455 ;  0.30 ;         1 
 test_nn_nnConv2DLayer                           ;  1 ;  953766185 ;  0.12 ;         1 
 test_nn_nnElementwiseAffineLayer                ;  1 ;  618424467 ;  0.03 ;         1 
 test_nn_nnIdentityLayer                         ;  1 ;  709896834 ;  0.03 ;         1 
 test_nn_nnLinearLayer                           ;  1 ;  714337854 ;  0.01 ;         1 
 test_nn_nnActivationLayer_computeApproxPoly     ;  1 ;  552412666 ;  0.78 ;         1 
 test_nn_nnActivationLayer_getDerBounds          ;  1 ; 1814073213 ;  0.01 ;         1 
 test_nn_nnActivationLayer_instantiateFromString ;  1 ;  558535800 ;  0.02 ;         1 
 test_nn_nnLeakyReLULayer                        ;  1 ; 2200877404 ;  0.06 ;         1 
 test_nn_nnReLULayer                             ;  1 ; 1567980941 ;  0.02 ;         1 
 test_nn_nnRootLayer                             ;  1 ; 1173237079 ;  0.04 ;         1 
 test_nn_nnSigmoidLayer                          ;  1 ; 2311914301 ;  0.03 ;         1 
