# date: 25-Aug-2025 12:55:09
# dateEnd: 25-Aug-2025 13:13:25
# hostsystem: Windows
# matlabversion: 25.1.0.2973910 (R2025a) Update 1
# coraversion: CORA v2025.2.0
# testSuite: short

                          fname                          ; ok ;    seed    ;  time ; checkTime 

 test_codingConventions                                  ;  0 ; 1939622727 ; 83.55 ;         1 
 test_contDynamics_isemptyobject                         ;  1 ; 1627298588 ;  0.12 ;         1 
 test_contDynamics_isequal                               ;  1 ;  636976755 ;  0.06 ;         1 
 test_linParamSys_display                                ;  1 ;  418048459 ;  0.71 ;         1 
 test_linParamSys_linParamSys                            ;  1 ; 4222099212 ;  0.11 ;         1 
 test_linParamSys_printSystem                            ;  1 ; 2740469629 ;  0.48 ;         1 
 test_linParamSys_reach_02_5dim_var                      ;  1 ; 3812882841 ;  2.68 ;         1 
 test_linProbSys_printSystem                             ;  1 ; 1402237236 ;  0.08 ;         1 
 test_linearARX_computeGO                                ;  1 ; 3445106692 ;  0.20 ;         1 
 test_linearARX_display                                  ;  1 ; 3784870321 ;  0.06 ;         1 
 test_linearARX_printSystem                              ;  1 ;  390733851 ;  0.17 ;         1 
 test_linearARX_reach                                    ;  1 ; 3981018748 ; 35.90 ;         1 
 test_linearARX_simulate                                 ;  1 ;  362333348 ;  0.49 ;         1 
 test_Krylov_Arnoldi                                     ;  1 ; 1257149127 ;  0.06 ;         1 
 test_Krylov_crossChecks                                 ;  1 ;  361308842 ;  0.14 ;         1 
 test_Krylov_intervalHomogeneousSolution                 ;  1 ;  845223237 ;  3.44 ;         1 
 test_linearSys_affineSolution                           ;  1 ;  373924801 ;  3.61 ;         1 
 test_linearSys_canonicalForm                            ;  1 ;  425481959 ;  0.15 ;         1 
 test_linearSys_display                                  ;  1 ; 3853280252 ;  0.23 ;         1 
 test_linearSys_generateRandom                           ;  1 ; 1582700358 ;  0.42 ;         1 
 test_linearSys_homogeneousSolution                      ;  1 ; 1435602141 ;  0.81 ;         1 
 test_linearSys_homogeneousSolution_blocks               ;  1 ; 4026779887 ;  5.24 ;         1 
 test_linearSys_identify                                 ;  1 ;  291345815 ; 58.66 ;         1 
 test_linearSys_isequal                                  ;  1 ;  421301945 ;  1.86 ;         1 
 test_linearSys_linearSys                                ;  1 ; 1166650817 ;  0.09 ;         1 
 test_linearSys_nonlinearSys                             ;  1 ; 3215104742 ;  5.23 ;         1 
 test_linearSys_oneStep                                  ;  1 ;  803389908 ;  0.64 ;         1 
 test_linearSys_particularSolution_constant              ;  1 ; 2394228664 ;  1.55 ;         1 
 test_linearSys_particularSolution_constant_blocks       ;  1 ; 2711972686 ;  1.32 ;         1 
 test_linearSys_particularSolution_timeVarying           ;  1 ; 1266666543 ;  0.11 ;         1 
 test_linearSys_printSystem                              ;  1 ; 1300319703 ;  0.31 ;         1 
 test_linearSys_reachBackward_2D                         ;  1 ; 2108776042 ;  5.11 ;         1 
 test_linearSys_reachBackward_innerouter                 ;  1 ; 3880705580 ;  6.08 ;         1 
 test_linearSys_reachBackward_pursuitevasion             ;  1 ; 3219777435 ;  4.65 ;         1 
 test_linearSys_reachBackward_tStartnonzero              ;  1 ;   86448121 ;  1.38 ;         1 
 test_linearSys_reachInner                               ;  1 ; 1687386213 ;  0.90 ;         1 
 test_linearSys_reachInner_02                            ;  1 ;  209337669 ;  7.81 ;         1 
 test_linearSys_reach_01                                 ;  1 ;   23136038 ;  0.64 ;         1 
 test_linearSys_reach_02_5dim                            ;  1 ; 2644475731 ;  3.62 ;         1 
 test_linearSys_reach_03_doubleIntegrator                ;  1 ; 3281243510 ;  0.42 ;         1 
 test_linearSys_reach_05_inputTrajectoryOnly             ;  1 ; 1891151635 ;  0.21 ;         1 
 test_linearSys_reach_07_constInput                      ;  0 ;   80198599 ;  1.11 ;         1 
 test_linearSys_reach_08_adaptive                        ;  1 ;  170696585 ; 47.17 ;         1 
 test_linearSys_reach_10_zeroDyn                         ;  1 ;  864561001 ;  1.13 ;         1 
 test_linearSys_reach_11_differentsets                   ;  1 ; 1541666760 ;  8.60 ;         1 
 test_linearSys_reach_12_adaptive_2                      ;  1 ; 2932258963 ;  0.87 ;         1 
 test_linearSys_reach_12_setreps                         ;  0 ;  280590153 ;  3.63 ;         1 
 test_linearSys_reach_13_time                            ;  1 ; 3489047704 ;  0.91 ;         1 
 test_linearSys_simulate                                 ;  1 ; 4246565973 ;  1.32 ;         1 
 test_linearSys_simulateRandom_01                        ;  1 ; 1672114507 ;  1.97 ;         1 
 test_linearSys_simulateRandom_time                      ;  0 ; 3569878615 ;  0.28 ;         1 
 test_linearSys_simulate_time                            ;  1 ; 3066935924 ;  0.05 ;         1 
 test_linearSys_taylorMatrices                           ;  1 ; 3649051020 ;  0.06 ;         1 
 test_linearSys_trajectoryError                          ;  1 ; 2550213438 ;  0.23 ;         1 
 test_linearSys_verify_01_temporalLogic                  ;  1 ;  127566797 ;  9.40 ;         1 
 test_linearSysDT_computeGO_01_sim                       ;  1 ; 1148312271 ;  0.10 ;         1 
 test_linearSysDT_computeGO_02_LTV                       ;  1 ; 1775095939 ;  0.26 ;         1 
 test_linearSysDT_conform_01_pedestrians                 ;  1 ; 2032313530 ; 21.49 ;         1 
 test_linearSysDT_conform_02_noUncertainty               ;  0 ; 3796792591 ;  0.23 ;         1 
 test_linearSysDT_conform_04_linearConstraint            ;  1 ; 3553626014 ;  0.67 ;         1 
 test_linearSysDT_conform_05_rec                         ;  1 ; 2479506283 ; 63.62 ;         1 
 test_linearSysDT_createTestSuite                        ;  1 ; 1176774490 ;  5.27 ;         1 
 test_linearSysDT_display                                ;  1 ; 2655675978 ;  0.20 ;         1 
 test_linearSysDT_identify                               ;  0 ; 1243146515 ;  0.09 ;         1 
 test_linearSysDT_isconform_01_pedestrians               ;  1 ;  988348311 ;  2.10 ;         1 
 test_linearSysDT_isconform_02_knownUncertainty          ;  0 ; 2053608874 ;  0.13 ;         1 
 test_linearSysDT_isconform_03_infiniteHorizon           ;  0 ; 1742673155 ;  0.07 ;         1 
 test_linearSysDT_linearSys                              ;  1 ; 2223339811 ;  0.28 ;         1 
 test_linearSysDT_linearSysDT                            ;  1 ; 1185726931 ;  0.07 ;         1 
 test_linearSysDT_observe_02_2dim                        ;  1 ;  682395125 ;  1.67 ;         1 
 test_linearSysDT_observe_05_FRad_C                      ;  1 ; 2426372057 ;  5.24 ;         1 
 test_linearSysDT_printSystem                            ;  1 ;   87869083 ;  0.11 ;         1 
 test_linearSysDT_reach_01_5dim                          ;  1 ; 3561499834 ;  0.75 ;         1 
 test_linearSysDT_reach_02_differentsets                 ;  1 ; 3517064373 ;  2.81 ;         1 
 test_linearSysDT_reach_03_noUncertainty                 ;  1 ; 1448062201 ;  0.13 ;         1 
 test_linearSysDT_reach_04_withDmatrix                   ;  1 ; 3279223827 ;  0.16 ;         1 
 test_linearSysDT_simulate                               ;  1 ; 1136186825 ;  0.19 ;         1 
 test_neurNetContrSys_neurNetContrSys                    ;  1 ; 1290738597 ;  1.47 ;         1 
 test_neurNetContrSys_reach_01_toyExample                ;  1 ; 2972601485 ;  8.94 ;         1 
 test_neurNetContrSys_simulate                           ;  1 ; 1359767499 ;  8.80 ;         1 
 test_nonlinDASys_display                                ;  1 ; 1849720668 ;  1.93 ;         1 
 test_nonlinDASys_nonlinDASys                            ;  1 ;   41391085 ;  2.71 ;         1 
 test_nonlinDASys_printSystem                            ;  1 ; 3137142055 ;  0.25 ;         1 
 test_nonlinParamSys_display                             ;  1 ; 2239407153 ;  2.73 ;         1 
 test_nonlinParamSys_nonlinParamSys                      ;  1 ; 2546909412 ;  1.91 ;         1 
 test_nonlinParamSys_printSystem                         ;  1 ;  434699789 ;  0.21 ;         1 
 test_nonlinParamSys_reach_01_tank                       ;  1 ; 1572173046 ;  6.70 ;         1 
 test_nonlinParamSys_reach_02_tank_certainCase           ;  1 ; 3544657996 ;  8.12 ;         1 
 test_nonlinearARX_computeGO_01_reach                    ;  1 ; 4139033969 ;  4.32 ;         1 
 test_nonlinearARX_computeGO_02_linsys                   ;  1 ;  192624546 ;  4.08 ;         1 
